Alabama,"['58', '67', '74', '82', '88', '91', '85', '75', '65', '56']"
Alaska,"['27', '34', '44', '56', '63', '64', '55', '40', '28', '25']"
Arizona,"['71', '77', '85', '95', '104', '104', '100', '89', '76', '66']"
Arkansas,"['55', '64', '73', '81', '89', '93', '86', '75', '63', '52']"
California,"['60', '65', '71', '80', '87', '91', '87', '78', '64', '54']"
Colorado,"['46', '54', '61', '72', '82', '88', '79', '66', '52', '45']"
Connecticut,"['40', '47', '58', '68', '77', '81', '74', '63', '53', '42']"
Delaware,"['47', '55', '66', '75', '83', '85', '79', '69', '58', '47']"
District Of Columbia,"['44', '53', '64', '75', '83', '84', '78', '67', '55', '45']"
Florida,"['67', '74', '80', '87', '91', '92', '88', '81', '73', '65']"
Georgia,"['57', '64', '72', '81', '86', '88', '82', '73', '64', '54']"
Hawaii,"['80', '81', '83', '85', '87', '89', '89', '87', '84', '81']"
Idaho,"['45', '55', '62', '72', '81', '90', '79', '65', '48', '38']"
Illinois,"['36', '46', '59', '70', '81', '82', '75', '63', '48', '36']"
Indiana,"['40', '51', '63', '73', '82', '83', '77', '65', '52', '39']"
Iowa,"['36', '49', '62', '72', '82', '84', '76', '63', '48', '34']"
Kansas,"['45', '56', '67', '76', '85', '89', '80', '68', '55', '42']"
Kentucky,"['45', '55', '66', '75', '83', '86', '79', '68', '55', '44']"
Louisiana,"['65', '72', '78', '85', '89', '91', '87', '80', '72', '64']"
Maine,"['32', '40', '53', '65', '74', '78', '70', '57', '45', '33']"
Maryland,"['46', '54', '65', '75', '85', '87', '80', '68', '58', '46']"
Massachusetts,"['39', '45', '56', '66', '76', '80', '72', '61', '51', '41']"
Michigan,"['33', '44', '58', '69', '78', '80', '73', '60', '47', '34']"
Minnesota,"['31', '43', '58', '71', '80', '82', '73', '59', '42', '29']"
Mississippi,"['60', '69', '76', '83', '89', '92', '87', '77', '67', '58']"
Missouri,"['45', '56', '67', '75', '83', '88', '80', '69', '56', '43']"
Montana,"['39', '48', '58', '67', '76', '85', '73', '59', '43', '32']"
Nebraska,"['37', '50', '63', '73', '84', '86', '77', '64', '48', '36']"
Nevada,"['50', '57', '63', '71', '81', '88', '80', '68', '54', '45']"
New Hampshire,"['35', '44', '57', '69', '77', '81', '73', '60', '48', '36']"
New Jersey,"['42', '51', '62', '72', '82', '84', '77', '65', '55', '44']"
New Mexico,"['48', '56', '65', '74', '83', '83', '78', '67', '53', '43']"
New York,"['42', '50', '60', '71', '79', '83', '76', '65', '54', '44']"
North Carolina,"['55', '63', '72', '79', '86', '87', '81', '72', '62', '53']"
North Dakota,"['28', '40', '57', '68', '77', '83', '72', '58', '40', '26']"
Ohio,"['40', '52', '63', '73', '82', '84', '77', '65', '52', '41']"
Oklahoma,"['55', '63', '72', '80', '88', '93', '85', '73', '62', '51']"
Oregon,"['52', '56', '61', '68', '74', '82', '77', '64', '53', '46']"
Pennsylvania,"['44', '53', '64', '74', '83', '85', '78', '67', '56', '45']"
Puerto Rico,"['83', '83', '85', '86', '88', '88', '88', '87', '85', '83']"
Rhode Island,"['40', '48', '59', '68', '78', '81', '74', '63', '53', '42']"
South Carolina,"['63', '70', '76', '83', '88', '89', '85', '77', '70', '62']"
South Dakota,"['27', '39', '57', '69', '78', '82', '72', '58', '39', '25']"
Tennessee,"['55', '64', '73', '81', '89', '91', '85', '74', '63', '52']"
Texas,"['65', '72', '80', '87', '92', '97', '91', '82', '71', '63']"
Utah,"['44', '53', '61', '71', '82', '89', '78', '65', '50', '40']"
Vermont,"['31', '40', '55', '67', '76', '79', '70', '57', '46', '33']"
Virginia,"['51', '60', '70', '78', '86', '88', '81', '71', '61', '51']"
Washington,"['44', '53', '64', '75', '83', '84', '78', '67', '55', '45']"
West Virginia,"['47', '56', '68', '75', '82', '84', '78', '68', '57', '46']"
Wisconsin,"['33', '42', '54', '65', '75', '78', '71', '59', '46', '33']"
Wyoming,"['40', '47', '55', '65', '75', '81', '72', '59', '47', '38']"
